Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
JAUPACI,2026-06-22,0.0,1,6,0,1,0.0010263407776266,-16.20973022325548,-51.05550430467066,4.142857142857143,0.24838126960672804,BAIXO
AURILÂNDIA,2026-06-22,0.3,0,6,0,1,0.00081516562482,-16.694217641941965,-50.54701395836094,3.333333333333333,0.24726225509757543,BAIXO
PANAMÁ,2026-06-22,0.3,0,6,0,1,0.0011511260951942,-18.199317807602675,-49.40058551258638,2.875,0.24186669058684243,BAIXO
GOIANIRA,2026-06-22,0.0,1,6,0,1,0.0006224498385174,-16.508575399186565,-49.41469315151372,1.4594594594594594,0.2352470215835343,BAIXO
MAIRIPOTABA,2026-06-22,0.3,0,6,0,1,0.0006999791778345,-17.295161367113327,-49.44670063542476,3.347826086956522,0.2337260629613749,BAIXO
CACHOEIRA ALTA,2026-06-22,0.9,0,6,0,1,0.0012825567847032,-18.461936889018936,-50.98679602687277,3.4827586206896552,0.23113402619495182,BAIXO
CERES,2026-06-22,0.0,6,6,0,1,0.0003994606911482,-15.280732075215544,-49.628100932957885,2.357142857142857,0.23007776690590054,BAIXO
ARAGARÇAS,2026-06-22,0.6,0,6,0,1,0.0016207323790579,-15.9954744133776,-52.195114826594455,1.809523809523809,0.22769678412985736,BAIXO
CHAPADÃO DO CÉU,2026-06-22,3.0,0,6,0,1,0.0062939056032299,-18.41837474627293,-52.650980123044505,15.272727272727272,0.22207722065367014,BAIXO
HEITORAÍ,2026-06-22,0.0,5,6,0,1,0.0004681295345433,-15.737018243255712,-49.79072401383959,1.8,0.2213934094096163,BAIXO
ITAUÇU,2026-06-22,0.0,6,6,0,1,0.0005353216286182,-16.19395275886309,-49.59347382261099,1.8,0.21688099831388893,BAIXO
ABADIA DE GOIÁS,2026-06-22,0.0,1,6,0,1,0.0004105363110506,-16.78893560640398,-49.43279950787229,1.7179487179487178,0.20850122269608856,BAIXO
CACHOEIRA DOURADA,2026-06-22,0.0,1,6,0,1,0.0009392125677274,-18.46651639403071,-49.55177475564167,2.5,0.20388489719228978,BAIXO
GOIANDIRA,2026-06-22,0.3,0,6,0,1,0.0006940721805532,-18.109377022796597,-48.1276924891904,1.5555555555555556,0.2034636428093772,BAIXO
CACHOEIRA DE GOIÁS,2026-06-22,0.3,0,6,0,1,0.0008033516302574,-16.743051878299504,-50.687902715799886,1.9047619047619049,0.20252444877751158,BAIXO
PEROLÂNDIA,2026-06-22,2.1,0,6,0,1,0.0024462352491202,-17.53130275403183,-52.205615580294655,2.4074074074074074,0.20025867685056375,BAIXO
PROFESSOR JAMIL,2026-06-22,0.3,0,6,0,1,0.0010381547721892,-17.327766046172016,-49.24779400353557,2.333333333333333,0.1980834300076346,BAIXO
SÃO LUÍS DE MONTES BELOS,2026-06-22,0.0,1,6,0,1,0.0005833159815288,-16.469151982594024,-50.3923408472066,2.25,0.19783771199877942,BAIXO
TURVÂNIA,2026-06-22,0.0,1,6,0,1,0.0005109552648328,-16.5749332857626,-50.13386843949185,2.9166666666666665,0.19371858745388995,BAIXO
SÃO MIGUEL DO PASSA QUATRO,2026-06-22,0.0,6,6,0,1,0.0004127514350311,-17.005010859807335,-48.6779096365864,1.181818181818182,0.18912971424631178,BAIXO
VARJÃO,2026-06-22,0.3,0,6,0,1,0.0008159039994801,-17.057239672517852,-49.63849902778105,1.9166666666666667,0.18017126179310516,BAIXO
BONFINÓPOLIS,2026-06-22,0.0,6,6,0,1,0.0004171816829921,-16.593720196431793,-49.00153550440518,1.375,0.1792808074100314,BAIXO
SANTA RITA DO ARAGUAIA,2026-06-22,3.6,0,6,0,1,0.0016871860984725,-17.30441364463477,-53.10068255768836,2.236842105263158,0.1762606868426754,BAIXO
TRÊS RANCHOS,2026-06-22,0.0,6,6,0,1,0.0001469365573724,-18.316873966288444,-47.74838358478794,2.3125,0.176037373795833,BAIXO
AMORINÓPOLIS,2026-06-22,0.0,1,6,0,1,0.0004725597825043,-16.66506804069733,-51.10984947764403,2.1875,0.17514157350334167,BAIXO
CATURAÍ,2026-06-22,0.0,1,6,0,1,0.0004157049336718,-16.46434919145576,-49.55619428460128,2.125,0.17513905766921145,BAIXO
AVELINÓPOLIS,2026-06-22,0.0,1,6,0,1,0.0003972455671677,-16.51911947366258,-49.76146747111399,2.125,0.17306284724551446,BAIXO
BURITINÓPOLIS,2026-06-22,0.0,6,6,0,1,0.0005914381027906,-14.42314966215634,-46.33303829144667,1.6,0.1714915699598654,BAIXO
CRISTIANÓPOLIS,2026-06-22,0.3,0,6,0,1,0.0005449204992003,-17.206932724384384,-48.69296888350953,1.4615384615384617,0.1704398386264004,BAIXO
ARAGOIÂNIA,2026-06-22,0.0,1,6,0,1,0.0003322685970733,-16.91901903566752,-49.41650422930775,1.4666666666666666,0.16773730233307993,BAIXO
EDEALINA,2026-06-22,0.3,0,6,0,1,0.0006482929516231,-17.41358594607326,-49.76627082483966,1.75,0.16717163675980187,BAIXO
